compound_id	LogS
817354021	-3.6161271205
884077896	-3.2547670983
100491263	-2.1770779444
650290313	-3.9244090954
324766667	-4.6620645831
730311759	-3.1231503041
496591248	-3.286116314
729559425	-2.6645485391
899981516	-4.396652184700001
692322119	-4.595502563999999
510430189	-2.2827688499
829053692	-2.3946499685
730361478	-1.9803097957
896884249	-3.4302388798
266716594	-3.5440597008
513652244	-2.3206011661000003
826684926	-2.4660307863
371757669	-2.9581950472000003
895511698	-3.4115138849
205433556	-3.5134687407
978115723	-4.4543816995
930873852	-4.2873429345
650260202	-3.4731390517
217628829	-2.3632080977000003
247806606	-3.4541026398000003
832152370	-2.9908768679000004
804211524	-3.5129421932
818568663	-4.2923134549
989937879	-4.8091341894
352070889	-4.6341446203
876094449	-0.763033718
702957303	-2.5636257131
912297694	-2.6418192727000003
950839392	-3.5528261452
221930838	-4.0571851475
317946253	-4.7932278922
326591751	-4.587250024599999
372404799	-4.4511392252
498576445	-4.2038484637
926019350	-4.581332510899999
177964601	-4.4720217682
642837249	-1.445031941
594008192	-0.4108977358
721080892	-3.8937390711
439933393	-7.973715535399999
465262088	-3.0386996230000003
441893848	-3.8109627954
267739021	-2.5936884915
198998899	-0.4261364852
829416111	-3.358911212
354447594	-2.7031744039
650367865	-1.8357972344
832412360	-3.9054642035
522396446	-4.1419008964
499713351	-1.7796231349
834901635	-2.6229591952
837248710	-3.7398163758
992878741	-2.8265354685000004
794873649	-3.7549532157
242443833	-2.6959998037
948474627	-1.6471414632
924105924	-3.9515188418
270208024	-5.1231687481
381387505	-4.952868802799999
710401323	-5.4730005799
901015372	-3.8230431676
243084570	-2.6500869941
463464500	-1.0042604536
798099024	-2.9799872046
178547565	-3.1784471289
246764659	-1.4270312571
100619817	-4.2291529922
632704722	-2.9526471698
789925184	-4.1510889183
308285721	-0.1758743764999999
230755951	-3.9885265275
942391266	-7.2780387128
268703447	-1.4396051212999998
543352346	-1.8579774272
415096729	-4.285895804
949946216	-4.0347567611
781162505	-4.0217535152
513056707	-5.229282852
287321319	-4.7725704235
758719870	-4.909505216
262243863	-2.7599573667
613207677	-1.8860303607
658468452	-3.8464965295
206512539	-0.6229779303
183180453	-4.1391336425
459158073	-1.642781181
868092755	-3.0887781924
816663974	-6.6197116003
789120544	-4.1359426126
166772386	-2.6038411441
310153226	-0.0700526508
462448527	-4.1708247593
329190383	-4.4100874366000005
383090007	-1.5218900849
418332697	-4.2169166627
589361351	-4.1519109764
730194419	-1.1892367555
987063900	-2.9659771733
483564362	-3.2569810012
147154366	-3.3285834497000004
957955630	-4.3876832538
539523032	-1.7922611704
243660183	-3.3451078238
804615095	-4.4255032449
958727745	-4.4255032449
934942321	-5.345705158
805144579	-5.424547549700001
274377856	-5.676541808600001
314548472	-5.4919252104
166508029	-5.593122621900001
254173901	-5.3651562541
294758406	-6.1025269393
803492660	-6.6566491092
701149909	-6.214524895199999
163948230	-5.731545252999999
282121986	-7.5558815137
935778124	-6.183335848
227995867	-6.1787966156
471751061	-6.40319542
671769547	-6.5873382321000005
758856199	-6.9290130346000005
275183949	-7.2523945018
690449352	-7.4042503575
950318411	-2.1558333574
698187340	-7.6382805905
710468907	-8.2501920599
346493716	-8.1852587653
647970590	-4.4002500912
734267172	-0.4539105371
265032807	-2.2566445306
810190855	-1.8254561435
754118701	-0.8171647444
862393540	-1.1383824511
577862457	-1.9883562334
519901168	-2.7868204517
404979452	-3.2972120668
103487954	-1.1558864442
692003168	-2.2056018566
642518282	-2.4020693383
672545303	-1.7683268794999998
916922492	-3.2740875474
631168081	-3.5292992951
734578823	-1.1759580204
104047737	-2.2114017234
546415000	-4.226296415899999
524765130	-3.2706864295
156835548	-1.9107299257
185589652	-3.0559869634
557550240	-3.1223887332
726576524	-2.2684756839
111975873	-2.642008137
864895838	-2.1536963273
664108860	-2.4042405739
150118808	-3.4953596006
801975890	-3.5264225666000004
622679137	-3.7561795168
416934274	-4.536378597
592830188	-8.7448595438
258705372	-4.4930858187
956799847	-4.5784028785
375167074	-5.5836431263
958616074	-4.2832046138
552304566	-4.9288559714
436680800	-3.3380498278
923933417	-0.8459165595999999
779192402	-2.5951754429
657500886	-3.243750947
155491266	-0.288092629
758760007	-3.3026567859
192749799	-2.1977641867
416450992	-3.6091104804
320591670	-3.3841929036
112327951	-3.3397616042
197663877	-3.2966135776
603133585	-3.2357622441000005
756828586	-3.3642253983
429187348	-2.3027678878
437730166	-3.4779807224
216213680	-3.6804449633
138689046	-2.3273175561
683866853	-2.365667988
997830797	-2.2673846672
560720113	-2.337666283
780903265	-2.2505224040000003
162674613	-2.1609542979
629827668	-1.4593774078
167951712	-2.4007753619
181608887	-2.8005950876
870677053	-3.1767964148
450867000	-3.5256277962
919896025	-3.3830205262
320438933	-4.4139224059
400997728	-4.596065772
840196857	-3.9943699512
688993561	-4.1112934221
884241550	-4.6725029066
924445069	-4.4507609201
945327572	-4.3606078686
383468587	-4.7874700957
123463629	-4.5531196112
135422904	-3.8390840609
116648123	1.2336682179
995794063	-2.2455315279
843134744	-2.4180900548
311760123	-2.7160174073000003
181011138	-3.3963665007
633739719	-3.5579600556
839929909	-3.301742894
185384517	-3.0693211517
728410788	-2.2522030039
212575333	-2.043101387
561130488	-1.4699304792
221575445	-0.9832225904
142134824	-3.4975575811
538667483	-3.533758505
572566449	-3.3243784972
266291825	-0.4376623173
266778159	-2.4096512377
326868648	-2.2869836341
495269677	-2.344979827
221628503	-2.352215179
633320336	-0.1376829835
225342954	-3.7183913352
493231917	-0.9312189022
468333251	0.747325108
400934004	-3.4359504856
821238990	-3.506108364
362122798	-3.4172455835
606132864	-2.4542650743000003
180089501	-3.6773468456
370561343	-1.277021164
317465675	-2.436880918
270767907	-3.9228515135
345264929	-3.006984006
585108354	-2.3647374971
692106964	-2.277035079
859821907	-0.5941393378000001
587658544	-1.0993150407
108044342	-1.2199585633
863699453	-2.6919272706
341549980	-2.4496899299
866146615	-2.4693780306
686070738	-3.5023551324
580625951	-3.5338845835000003
357344540	-7.098737149600001
758583774	-4.412762427200001
621166154	-4.4891053349000005
903976328	-4.5673029377
291348845	-4.6051146656
814724963	-4.4462039036
561683744	-4.4200239973
237260552	-4.6202577876
599629005	-4.589885800199999
254616399	-4.4694622333
356482473	-4.4980268403
762815552	-4.6536052692
153927532	-4.6786900339
657356243	1.3320248442
409127192	-3.3236333941
290522481	-3.0521011765
575945748	-2.3519095035
392489260	-1.3149750669
205850127	0.4442593444
973137822	0.3709472853
417694427	-2.7785623319
109989006	-2.2450853258000003
753424115	-2.5337046723
794146299	-3.7709815003
939363226	-3.4598629014
910510571	-2.3711973931
449433942	-2.4091286640000003
620266119	-2.7622964758
314826037	-2.4332379452
515876527	-3.423291255
309080051	-2.3496052546
977711460	-1.1616711076
615205860	-2.1858288548
439220371	-2.41045076
714271427	-1.9394650737
773413912	0.6252744890999999
140152787	-2.0257332357
179784165	-3.8360757577
749057886	-3.3932597866000003
400742822	-2.1021873796
270439343	-1.2803868403
374346885	-3.4318638977
556681551	-2.3610477791
154001215	-1.4245732761
395714673	-2.4199676473
981681495	-2.4977135853
389319328	-1.292396158
236693546	-0.4755079565
569594818	-2.3403675905
442503128	-2.4821079167
727205858	-2.4171742578
658952094	-3.4963238418
137747345	-3.7584891954
318820932	-3.4683853884
814870260	-3.34190657
826849742	0.8466851642000001
164079015	-0.6030114261
668083619	-2.6489777217
384905937	-3.4452161366000005
161167260	-2.977604072
615757718	-2.977604072
657132457	-2.6913820060000004
418937546	-3.4657606101
509822534	-0.3990804112
111835033	-2.4740066421
796667366	1.0233941334
385772016	-2.4941685135
557258032	-3.539328096
144303026	-4.5787304077
509343934	-4.6234419541000005
335169068	-4.5348386091
715309929	-4.0080532109
930793910	-4.788985440799999
877444608	-4.5442204359
698979926	-4.4708606495
428926711	-5.4050532611
205958160	-5.0416978328
485023251	-4.3112256046
850794505	-4.5540762927
629535600	-4.346837785
157109212	-4.5097094839
420050227	-4.7025138257
383300719	-4.6602344394
197653060	-4.5802538276
195253911	-4.6134788776
777813951	-2.3999022404
810413845	-1.4057514128
881564078	-2.4116682055000003
903409276	-3.4515155376
159921539	-3.4892158636
859396792	-3.3940626837
601559214	-2.3906599281
127210294	-2.4548997462
954768591	-5.5472319177
733985607	-3.591642752
959749884	-3.6576170412
852478734	-3.7030926455
343323597	-2.4785789552
974070159	-2.427057806
811273881	-2.5886676064
134371381	-2.2062982993
708022228	-3.9441003714
857420537	-3.7003596507
701328570	-3.3513392636000003
291175637	-3.4346473299
817051630	-3.5585927938
548010141	-2.3318416428
203515692	-4.676528089
312806693	-0.0080331121
967590294	-2.5363732086
856693467	1.0867760203
350562998	-0.6232866861
824704588	-3.6510805625
608424716	0.5376020021
722236024	0.9578400994
569040443	-2.3927519971
249669836	-3.2920233513
847133895	-2.6214335505
549155799	-1.3733684129
642581159	-3.5605044152
437240701	-7.335707322699999
680160555	-2.1049144818000003
929724108	-2.8135095056
124318834	-3.3330935045
154600486	-2.4239072122
192448347	-3.5383035446
999990128	-2.4948513605
950275581	-1.6975300994
431208418	-2.4650077569
461572769	-2.7113870277
164506027	-3.5481536429
856757176	-2.4880091207
552651973	-2.6343205414
452460361	-2.5631304762
113210932	-1.5805795126
662627161	0.5776235848
682783515	0.6121583154
355510571	-0.838079267
247649537	-1.0824140873
506890834	-1.3879839049
235191679	-2.772789495
916505438	-2.4540578458
549187808	-2.5520132395
452248218	-2.6798855726
728268884	-2.9368865529000003
653329182	-3.7219886724
506881344	-3.3351930307
202581398	-5.0104856455
767404898	-4.7801182897
872956230	-4.807173711
299058060	-4.8285219564
513556007	-4.6063887787
308750822	-4.4804406676
431002963	-2.3407335191
253411311	-4.5830924552
643425712	-4.7011861265
959179462	-4.6599585126
525675533	-4.6327996787
373206436	-4.5985985087
166714903	-4.5021013295
971153046	-4.9505314842
501499586	-4.9604194489
888883932	-4.6439814041
346361578	-2.4918772305
588775007	-2.6570018481
380224309	-3.382657059
713702313	-3.5974164985000003
379602617	-3.5442781768
434394200	-3.8514567881
288537197	-2.4722202552000003
890317814	1.4518068893
921456605	-3.9064006561
262904820	-3.5540595352999995
481564620	-3.5181985232
581170258	-3.6457005741
306745962	-0.4595508588
331538571	-2.6024346943
168173929	-3.5779623367
830976292	-3.3235329498
313507184	-1.6720680623
869094800	-1.6822793230000002
741733790	-1.4164957907
824139123	-1.4241960776
430300010	-1.8222562261
101726676	-3.6695176909
604733625	-3.5580403929
255315625	-1.5556396769999998
643658321	-2.5992568252
120198146	-2.5484883965000003
453282141	-2.6990298363
549752228	-3.698734262
777556845	-2.5888216416
438640174	-2.738284824
999765072	-2.6647801935
420883483	-1.6467890106
818903624	-6.4977813968
650083100	-2.6223388564
519575426	-6.7763112575
252798947	-1.8384616763
958495373	-1.4947809467
472946345	-1.7700930025
948296825	-2.5604043774000003
100093476	-2.6613195143
420936676	-2.8204596094
565204392	-3.6752800895
256636178	-3.5976237668
121827809	-3.6550445763
269221030	-0.9372185286
950649407	-1.020958606
746515187	-1.382910122
591685422	-2.5706235426
120028776	-3.5896411422
