compound_id	SMILES
817354021	[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C
884077896	O=C1Nc2cccc3cccc1c23
100491263	Clc1ccc(C=O)cc1
650290313	[Zn++].CC(c1ccccc1)c2cc(C(C)c3ccccc3)c(O)c(c2)C([O-])=O.CC(c4ccccc4)c5cc(C(C)c6ccccc6)c(O)c(c5)C([O-])=O
324766667	C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3
730311759	Cc1cccc(C=C)c1
496591248	CCC1CCC(CCC(O)=O)C1
729559425	CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO
899981516	Fc1ccc(cc1)C(=O)c2ccc(F)cc2
692322119	O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2
510430189	CN(C)c1ccc(C=O)cc1
829053692	CC(=O)OC(C)(C)Cc1ccccc1
730361478	Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O
896884249	CC(C)(C)c1ccc(OCC2CO2)cc1
266716594	COCCCCC(=O)c1ccc(cc1)C(F)(F)F
513652244	CC(C)=CCC\C(C)=C/CO
826684926	CC(Oc1ccc(Cl)cc1C)C(O)=O
371757669	[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(C)C.CCCCC(CC)CO[P]([S-])(=S)OCC(C)C
895511698	FC(F)(F)c1cccc(Cl)c1
205433556	CCC(C)(CCC(C)C)C(=O)OCC1CO1
978115723	CC(C)CCCCCOC(=O)CCS
930873852	CC(C)=C1CCC(=CC1)C
650260202	[Na+].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O
217628829	[Zn++].CC(=C)C([O-])=O
247806606	CCNCC(O)c1cccc(O)c1
832152370	[Zn++].CCC(C)O[P]([S-])(=S)OC(C)CC(C)C.CCC(C)O[P]([S-])(=S)OC(C)CC(C)C
804211524	ClCc1ccc(Cl)cc1Cl
818568663	CC1(C)C2CCC(=C)C1C2
989937879	CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO
352070889	CCCCCCCCCCCCOC(=O)C(C)O
876094449	NO
702957303	C=CC(=O)OCCOc1ccccc1
912297694	CCCC[N+](CCCC)(CCCC)Cc1ccccc1.Oc2ccc(c3ccccc23)[S]([O-])(=O)=O
950839392	OC(=O)CCCCCCCCC=C
221930838	C[N+](C)(CCCN[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O
317946253	CCC(Cc1ccccc1)(N(C)C)C(=O)c2ccc(cc2)N3CCOCC3
326591751	CC(C)CCCCCCc1ccc(O)cc1
372404799	CC(=C)c1cccc(c1)C(C)=C
498576445	[Mo]
926019350	CC(C)(C)CCCCCC(=O)OC=C
177964601	Cc1ccc(cc1)C(C)(C)C
642837249	OC(=O)C1CCCCC1
594008192	[Na+].[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)OCC[S](=O)(=O)c1cccc(Nc2nc(Cl)nc(Nc3cc(cc4C=C(\C(=N/Nc5ccc6c(cccc6[S]([O-])(=O)=O)c5[S]([O-])(=O)=O)C(=O)c34)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n2)c1
721080892	C(CCCN=C\C=C\c1ccccc1)CCN=C/C=C/c2ccccc2
439933393	CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5
465262088	[Cl-].CCN(CC[N+](C)(C)C)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O
441893848	C1CN(CCO1)Sc2sc3ccccc3n2
267739021	CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2
198998899	[Na+].[Na+].[Na+].[Na+].NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(c3)[S](=O)(=O)CCO[S]([O-])(=O)=O)n2)ccc1N=Nc4cc5c(cc(cc5[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc4[S]([O-])(=O)=O
829416111	[Na+].[Na+].CCCCCCCCCCCCNc1nc(Cl)nc(Nc2ccc3c(O)c(N=Nc4ccc(cc4)N=Nc5ccc(cc5)[S]([O-])(=O)=O)c(cc3c2)[S]([O-])(=O)=O)n1
354447594	CCCN(CCC)C(=O)SCC
650367865	C1CC(CCC1COCC2CO2)COCC3CO3
832412360	CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO
522396446	[OH-].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O
499713351	O=[P+]1Oc2ccccc2c3ccccc13
834901635	C=COC(=O)c1ccccc1
837248710	COC(=O)c1ccc(cc1)C(C)(C)C
992878741	Cc1cccc(CC(C)(C)CO)c1
794873649	CC(=O)OC\C=C(C)/CCC=C(C)C
242443833	CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2
948474627	CC1CC(=O)CC(C)(C)C1
924105924	C=CC(=O)OCCOc1ccccc1c2ccccc2
270208024	SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS
381387505	Cc1cc(cc(C)c1O)C(C)(C)c2cc(C)c(O)c(C)c2
710401323	CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
901015372	CCOC(=O)CC(C)CC(C)(C)C
243084570	[Ca++].[O-][Si]([O-])=O
463464500	CCc1ccc(C)nc1
798099024	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O
178547565	C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
246764659	[Na+].[Na+].Cc1ccc(Nc2ccc(Nc3ccc(C)cc3[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)c(c1)[S]([O-])(=O)=O
100619817	[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Mo].[Mo]
632704722	CC(=C)C(=O)OCCOc1ccccc1
789925184	CCCCOCCOCCOCc1cc2OCOc2cc1CCC
308285721	CF
230755951	C(COc1ccccc1)Oc2ccccc2
942391266	CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N
268703447	[Na+].Cc1cc(C)c(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)c(C)c1CNC(=O)c5ccccc5
543352346	CCCC(CCC)C(O)=O
415096729	[Zn++].[S-]c1sc2ccccc2n1.[S-]c3sc4ccccc4n3
949946216	Oc1ccccc1.ClCC2CO2.C=O
781162505	CCCCCC/C=C/C1CC(=O)OC1=O
513056707	CC(=C)C(O)=O.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3
